seed,ga_variant,generation,nevals,avg_fitness,max_fitness
72,vanilla_ga,1,16,0.9316712441479925,0.9355477990342954
72,vanilla_ga,2,14,0.9341746272883735,0.9355477990342954
72,vanilla_ga,3,17,0.9350142973313222,0.9354156744071226
72,vanilla_ga,4,14,0.9351544362287134,0.9356000481255592
72,vanilla_ga,5,20,0.9353938143503907,0.9364467993602699
72,vanilla_ga,6,12,0.9358317082189229,0.9365716175908397
72,vanilla_ga,7,20,0.9362682236257177,0.9366932293209184
72,vanilla_ga,8,16,0.9360322544681321,0.9366932293209184
72,vanilla_ga,9,15,0.9365488087324485,0.936892732867969
72,vanilla_ga,10,18,0.9367056406002696,0.936892732867969
72,improved_ga,0,20,0.9267894983781477,0.9350999594645265
72,improved_ga,1,18,0.9334744320330504,0.9351170368742365
72,improved_ga,2,14,0.934892820823009,0.9351170368742365
72,improved_ga,3,14,0.9350890778999288,0.9351530263427633
72,improved_ga,4,18,0.9348478857858323,0.9353008263221552
72,improved_ga,5,16,0.9352071258734249,0.9359121919155368
72,improved_ga,6,12,0.9352401924521448,0.9359121919155368
72,improved_ga,7,11,0.9353752011027774,0.9360465702539694
72,improved_ga,8,16,0.9339177099854243,0.9359121919155368
72,improved_ga,9,18,0.9356689160682821,0.9376584630535825
72,improved_ga,10,14,0.9354116417062087,0.9376584630535825
82,vanilla_ga,0,20,0.9242982605209379,0.9360940153325044
82,vanilla_ga,1,16,0.921931401648464,0.9360940153325044
82,vanilla_ga,2,16,0.9356266301105369,0.9365519457487841
82,vanilla_ga,3,16,0.9360312936537403,0.9369408728132237
82,vanilla_ga,4,18,0.9362286591239203,0.9365519457487841
82,vanilla_ga,5,18,0.9364500048682881,0.9368507686277597
82,vanilla_ga,6,18,0.9365376561382825,0.9368636261547424
82,vanilla_ga,7,14,0.9361326671848198,0.9368636261547424
82,vanilla_ga,8,18,0.9367475396167475,0.9369408728132237
82,vanilla_ga,9,19,0.936458318298081,0.9369625409075518
82,vanilla_ga,10,18,0.936359838980177,0.937324428384567
82,improved_ga,0,20,0.9242982605209379,0.9360940153325044
82,improved_ga,1,12,0.9348188149676862,0.9368689263907716
82,improved_ga,2,16,0.9359454251006303,0.9370743509847429
82,improved_ga,3,17,0.936511674697314,0.9370743509847429
82,improved_ga,4,15,0.9362660385893087,0.9371071813232558
82,improved_ga,5,16,0.9369761659344242,0.9371071813232558
82,improved_ga,6,18,0.937028885967049,0.9372447332381841
82,improved_ga,7,16,0.9370775635578952,0.9372447332381841
82,improved_ga,8,10,0.9367181482024088,0.9372447332381841
82,improved_ga,9,18,0.9372447332381842,0.9372447332381841
82,improved_ga,10,18,0.9369801337469603,0.9372447332381841
