seed,method,classifier,macro_f1,accuracy,precision_macro,recall_macro,fit_time_seconds,predict_time_seconds,total_time_seconds,classifier_only_total_time_seconds,reduction_runtime_seconds,input_feature_count,output_feature_count,feature_reduction_ratio,ga_variant,ga_best_cv_macro_f1,fitness_classifier,fitness_metric,population_size,generations,cxpb,mutpb,mutation_indpb,tournament_size,nca_components
72,nca,Logistic Regression,0.928961,0.918472,0.930745,0.927498,11.687797,0.000696,302.563557,11.688493,290.875064,16,6,0.625,,,,,,,,,,,6
72,nca,Random Forest,0.929833,0.919207,0.932791,0.927412,5.920058,0.074839,296.869961,5.994897,290.875064,16,6,0.625,,,,,,,,,,,6
72,nca,SVM,0.928668,0.917003,0.930804,0.92679,0.421375,0.300264,291.596703,0.721639,290.875064,16,6,0.625,,,,,,,,,,,6
82,baseline,Logistic Regression,0.928115,0.914433,0.928493,0.928667,0.527135,0.000694,0.52783,0.52783,0.0,16,16,0.0,,,,,,,,,,,
82,baseline,Random Forest,0.932892,0.923246,0.93346,0.932964,11.327783,0.069204,11.396987,11.396987,0.0,16,16,0.0,,,,,,,,,,,
82,baseline,SVM,0.94087,0.929122,0.941939,0.94043,0.569231,0.339005,0.908235,0.908235,0.0,16,16,0.0,,,,,,,,,,,
82,vanilla_ga,Logistic Regression,0.929671,0.916269,0.930164,0.930151,0.155393,0.000502,85.715448,0.155895,85.559553,16,8,0.5,vanilla_ga,0.937324,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
82,vanilla_ga,Random Forest,0.938175,0.927653,0.938626,0.938315,6.048769,0.070781,91.679104,6.11955,85.559553,16,8,0.5,vanilla_ga,0.937324,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
82,vanilla_ga,SVM,0.942243,0.931326,0.943157,0.941861,0.54577,0.338623,86.443946,0.884393,85.559553,16,8,0.5,vanilla_ga,0.937324,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
82,improved_ga,Logistic Regression,0.929148,0.915902,0.92967,0.929474,0.252645,0.000654,76.377248,0.253299,76.123949,16,9,0.4375,improved_ga,0.937245,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
82,improved_ga,Random Forest,0.936114,0.925817,0.936694,0.936305,8.736764,0.070959,84.931672,8.807722,76.123949,16,9,0.4375,improved_ga,0.937245,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
82,improved_ga,SVM,0.942587,0.931693,0.943553,0.942202,0.572052,0.328293,77.024294,0.900345,76.123949,16,9,0.4375,improved_ga,0.937245,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
82,nca,Logistic Regression,0.93059,0.917371,0.930526,0.931361,7.131337,0.000721,184.193151,7.132057,177.061093,16,6,0.625,,,,,,,,,,,6
82,nca,Random Forest,0.934191,0.923246,0.934188,0.934484,5.857852,0.07299,182.991935,5.930842,177.061093,16,6,0.625,,,,,,,,,,,6
82,nca,SVM,0.938418,0.927286,0.939735,0.937692,0.415272,0.296071,177.772436,0.711343,177.061093,16,6,0.625,,,,,,,,,,,6
